"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 31 15:24:51 GMT 2021","Sat Jul 31 15:24:51 GMT 2021","254","","TestSignIn","","TestSignIn","TestSignInEmptyNameInputField","TestSignInEmptyNameInputField()",""
"broken","Sat Jul 31 15:24:51 GMT 2021","Sat Jul 31 15:24:52 GMT 2021","302","","TestSignIn","","TestSignIn","TestSignInWrongPassword","TestSignInWrongPassword()",""
"broken","Sat Jul 31 15:24:51 GMT 2021","Sat Jul 31 15:24:51 GMT 2021","310","","TestRegistration","","TestRegistration","TestRegistrationNoPassword","TestRegistrationNoPassword()",""
"broken","Sat Jul 31 15:24:52 GMT 2021","Sat Jul 31 15:24:52 GMT 2021","161","","TestRegistration","","TestRegistration","TestRegistrationNoMatchPassword","TestRegistrationNoMatchPassword()",""
"broken","Sat Jul 31 15:24:49 GMT 2021","Sat Jul 31 15:24:50 GMT 2021","1661","","TestSignOut","","TestSignOut","TestCompleteSignOut","TestCompleteSignOut()",""
"broken","Sat Jul 31 15:24:51 GMT 2021","Sat Jul 31 15:24:51 GMT 2021","256","","TestSignIn","","TestSignIn","TestSignInEmptyPasswordField","TestSignInEmptyPasswordField()",""
"broken","Sat Jul 31 15:24:51 GMT 2021","Sat Jul 31 15:24:51 GMT 2021","316","","TestRegistration","","TestRegistration","TestValidRegistration","TestValidRegistration()",""
"broken","Sat Jul 31 15:24:50 GMT 2021","Sat Jul 31 15:24:51 GMT 2021","325","","TestRegistration","","TestRegistration","TestRegistrationNoName","TestRegistrationNoName()",""
"broken","Sat Jul 31 15:24:49 GMT 2021","Sat Jul 31 15:24:50 GMT 2021","1641","","TestRegistration","","TestRegistration","TestRegistrationNotValidPassword","TestRegistrationNotValidPassword()",""
"broken","Sat Jul 31 15:24:51 GMT 2021","Sat Jul 31 15:24:51 GMT 2021","300","","TestSignIn","","TestSignIn","TestSignIn","TestSignIn()",""
"broken","Sat Jul 31 15:24:51 GMT 2021","Sat Jul 31 15:24:52 GMT 2021","218","","TestRegistration","","TestRegistration","TestRegistrationNoEmailAddress","TestRegistrationNoEmailAddress()",""
